Date_time,Ammount to convert,Currency code (from),Currency code (to),Result
11/30/2023__12:37:21,100.0,USD,RUB,8857.497531567544
11/30/2023__12:42:58,100.0,ILS,RUB,2390.3408015598925
11/30/2023__13:00:05,100.0,USD,EUR,91.57551087688131
11/30/2023__13:00:28,100.0,EUR,USD,109.1995
11/30/2023__13:00:34,100.0,EUR,USD,109.18350000000001
11/30/2023__13:00:44,100.0,EUR,USD,109.31169999999999
12/06/2023__21:16:59,100.0,EUR,USD,107.745
12/07/2023__13:25:01,100.0,USD,EUR,91.54851567814106
12/07/2023__13:26:00,100.0,USD,EUR,92.87853809181043
12/07/2023__14:08:02,100.0,EUR,USD,107.7081
12/07/2023__15:50:27,100.0,AOA,AFN,8.36314468517353
12/11/2023__13:21:59,100.0,KZT,RUB,19.743026842202184
12/11/2023__13:36:48,100.0,MDL,RUB,509.33241866740275
12/11/2023__13:57:55,100.0,AFN,AOA,1200.7640347915678
12/11/2023__17:55:17,100.0,USD,XCD,270.254941445223
12/11/2023__18:04:07,100.0,RUB,BOB,7.601487447583296
12/22/2023__11:14:45,100.0,ALL,XCD,2.8552274964923865
12/22/2023__11:18:15,100.0,ALL,DZD,142.02130841328497
12/22/2023__11:18:17,100.0,ALL,DZD,142.02130841328497
12/22/2023__11:32:39,100.0,XCD,HTG,4874.689245635186
12/22/2023__11:33:21,100.0,USD,AUD,147.20647427576355
12/24/2023__13:36:55,100.0,ILS,EUR,25.147154863472327
